rdp	Colon_A1	Colon_A2	Colon_A3	Colon_A4	Colon_A5	Colon_A6	Colon_B1	Colon_B2	Colon_B3	Colon_B4	Colon_B5	Colon_B6	Colon_C1	Colon_C2	Colon_C3	Colon_C4	Colon_C5	Colon_C6	Colon_D1	Colon_D2	Colon_D3	Colon_D4	Colon_D5	Colon_D6	SI_A1	SI_A2	SI_A3	SI_A4	SI_A5	SI_A6	SI_B1	SI_B2	SI_B3	SI_B4	SI_B5	SI_B6	SI_C1	SI_C2	SI_C3	SI_C4	SI_C5	SI_C6	SI_D1	SI_D2	SI_D3	SI_D4	SI_D5	SI_D6
Lactobacillaceae	0.0038	0.1328	0.2638	0.1109	0.1771	0.1145	0.1807	0.0873	0.1721	0.0525	0.3117	0.1021	0.0933	0.0413	0.1531	0.1505	0.3802	0.1506	0.2127	0.0273	0.2287	0.0034	0.1184	0.0024	0.1272	0.5101	0.3275	0.5837	0.3842	0.3489	0.2793	0.4657	0.3666	0.6504	0.6101	0.3063	0.633	0.7372	0.5604	0.6211	0.6071	0.4115	0.0787	0.1426	0.0792	0.061	0.1481	0.491
Methylobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	6e-04	0	0	0	0	0	7e-04	0	0	0	0
Microbacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	4e-04	0	0	0	0	0	0.0026	0	0	0.0039	0	0	0	0	0	0	0	0
Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0.0053	0	0.0015	0	0	0	0	0	0	0	0	0
Moraxellaceae	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045	0	0.0219	0	0	0	0	0	0	0	0	0	6e-04	0	0.0024	0	0	0	0.0013	0	0.3045	0	0
Morganellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0	0	0	0
Muribaculaceae	0.1044	0.142	0.0829	0.1718	0.0654	0.1807	0.1526	0.2686	0.1265	0.1854	0.1446	0.1228	0.1632	0.1686	0.1339	0.2029	0.1227	0.1314	0.1392	0.1509	0.141	0.1497	0.1765	0.1768	0.128	0.2234	0.0357	0.155	0.0348	0.07	0.1255	0.3778	0	0.0909	0.0058	0.222	0	0.0089	0	0.0014	0.0658	0.17	0.0119	0.1117	0.0217	0.0033	0.0212	0.0151
Oxalobacteraceae	0	0	2e-04	0	0	3e-04	0	0	0	0	0	0	0	0	0	4e-04	0	0	0	0	5e-04	8e-04	0	6e-04	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillaceae 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0	0	0	0	0
Peptostreptococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1483	0	0	0
