rdp	Colon_A1	Colon_A2	Colon_A3	Colon_A4	Colon_A5	Colon_A6	Colon_B1	Colon_B2	Colon_B3	Colon_B4	Colon_B5	Colon_B6	Colon_C1	Colon_C2	Colon_C3	Colon_C4	Colon_C5	Colon_C6	Colon_D1	Colon_D2	Colon_D3	Colon_D4	Colon_D5	Colon_D6	SI_A1	SI_A2	SI_A3	SI_A4	SI_A5	SI_A6	SI_B1	SI_B2	SI_B3	SI_B4	SI_B5	SI_B6	SI_C1	SI_C2	SI_C3	SI_C4	SI_C5	SI_C6	SI_D1	SI_D2	SI_D3	SI_D4	SI_D5	SI_D6
Paraburkholderia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paramuribaculum	0.0729	0.0965	0.0506	0.1025	0.0434	0.1342	0.0769	0.2042	0.0792	0.1259	0.1117	0.0794	0.1156	0.0999	0.0624	0.1283	0.0615	0.0788	0.0745	0.0706	0.1057	0.0738	0.0978	0.1135	0.117	0.1881	0.0263	0.1019	0.0254	0.0604	0.0851	0.3319	0	0.0601	0.0029	0.1312	0	0.0057	0	3e-04	0.051	0.0689	0.0083	0.0479	0.0135	0.0033	0.0186	0.0125
Parasutterella	0	2e-04	0.0052	0.001	0.0019	0.0027	0.0019	0.0087	0.0033	0	6e-04	8e-04	6e-04	0.0116	0	6e-04	6e-04	6e-04	0.0029	0	0	0	0.0053	0	0	7e-04	0.0037	1e-04	0	4e-04	4e-04	0.0017	0	0.0021	0	2e-04	0	0.0036	0	0	5e-04	8e-04	1e-04	0.0045	0	0	0	0
Phocaeicola	3e-04	0.0105	0	0.0088	0.0012	0.0095	0.0067	0.0121	0.006	0.0042	0.0052	0.0058	0.0119	0.0144	0.0091	0.0065	0.0032	0.0031	0.0079	0.003	0.0054	0.0164	0.0191	0.0029	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	4e-04	0
Polynucleobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0	0	0	0
Pseudarthrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0.0041	0	0.0011	0	0	0	4e-04	0	0.0297	0	0.0445
Ralstonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0.0012	0	0	0	0	0	0.0019	0	0.0323	0	0.0389
Romboutsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1483	0	0	0
Roseburia	0	0.0057	0	0	0	0	0	0	0	0.0026	0	0.0036	0.0013	0	0	0.0013	0	0.001	0	7e-04	9e-04	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0029	0
Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0.0048	0	0.0015	0	0	0	0	0	0	0	0	0
Ruminococcus	0.0019	0	0.0031	0	0.0033	2e-04	0.0058	0	0.0033	0	0.0028	3e-04	0.0116	0.004	0.0103	0.0011	6e-04	0.0023	0	0.0039	0.0103	0.0094	0	3e-04	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruthenibacterium	2e-04	0	0	0	0	4e-04	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	6e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schaedlerella	0.0161	0.0011	0	0.0026	0	6e-04	0.0026	0.0022	7e-04	0.005	0.0016	0.0014	0.001	0.0028	0.0011	9e-04	0.0013	0.0059	0	0.0026	0.0012	0.0015	0.0032	6e-04	2e-04	0.0013	0	0.0015	0	2e-04	0	0	0	0.001	0	0	0	0	0	0	0	0.0013	0	0	0	0	0.0034	0
Sphingomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212
Staphylococcus	0.0028	3e-04	0	0	0.0192	0	0	0	0	0	0.0029	0	9e-04	0	7e-04	0	1e-04	0	0	0	0	5e-04	0.0054	0	0.0042	0.0044	3e-04	0	0.0103	0	0	5e-04	0	0.0016	0.0339	9e-04	0.0432	0.0045	0.0031	0.0011	0	0	0	0.0011	0.085	0.2281	0	0.0509
Stenotrophomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062
Streptococcus	0	0	0	1e-04	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	3e-04	3e-04	0	7e-04	0	0	0	8e-04	0	4e-04	0.0019	0	0.0118	0.0039	8e-04	0.0051	0	0	0	0.002	0	0.1239	0	0.0312
Turicibacter	0.0048	0	0.1046	0	0.2697	0	0.2075	0	0.2106	1e-04	2e-04	0	0	5e-04	0	0	0	0	0.1853	0	0.0985	0	0.001	0	0.2005	0	0.2135	3e-04	0.2335	1e-04	0.5663	0	0.6041	0.0259	0	0	0	0	0	0	2e-04	0	0.776	0	0.0015	0	0.3572	0
