rdp	Colon_A1	Colon_A2	Colon_A3	Colon_A4	Colon_A5	Colon_A6	Colon_B1	Colon_B2	Colon_B3	Colon_B4	Colon_B5	Colon_B6	Colon_C1	Colon_C2	Colon_C3	Colon_C4	Colon_C5	Colon_C6	Colon_D1	Colon_D2	Colon_D3	Colon_D4	Colon_D5	Colon_D6	SI_A1	SI_A2	SI_A3	SI_A4	SI_A5	SI_A6	SI_B1	SI_B2	SI_B3	SI_B4	SI_B5	SI_B6	SI_C1	SI_C2	SI_C3	SI_C4	SI_C5	SI_C6	SI_D1	SI_D2	SI_D3	SI_D4	SI_D5	SI_D6
Actinobacteria	0.0412	0.0116	0.3043	0.0275	0.2776	0.0283	0.0244	0.0217	0.0168	0.0111	0.0612	0.0484	0.1547	0.026	0.1585	0.106	0.1207	0.0377	0.2187	0.0684	0.0243	0.0122	0.013	0.031	0.0908	0.068	0.4143	0.1661	0.3165	0.2645	0.0195	0.0782	0	0.1826	0.0037	0.4215	0.0099	4e-04	0.0015	0.0085	0.231	0.3069	0.0105	0.6673	0.009	0.0209	0.0092	0.016
Bacteroidetes	0.2392	0.3863	0.1215	0.4174	0.1149	0.4906	0.2602	0.5314	0.2485	0.335	0.2468	0.32	0.3562	0.4972	0.3056	0.3943	0.2243	0.3159	0.2343	0.3226	0.3283	0.5537	0.3829	0.4673	0.1281	0.2237	0.0357	0.1635	0.0348	0.07	0.1255	0.3778	0	0.0909	0.0058	0.222	0	0.011	0	0.0016	0.0658	0.1703	0.0149	0.1134	0.0217	0.0033	0.0278	0.0417
Candidatus Saccharibacteria	0	4e-04	1e-04	7e-04	0	3e-04	0	0	0	0.003	2e-04	1e-04	0	0	0	0	0	0	0	0	0	2e-04	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	5e-04	0	0	0	0
Cyanobacteria/Chloroplast	0	0	0	2e-04	0	1e-04	0	0	0	0	0	0	1e-04	0	1e-04	0	0	3e-04	0	0	0	0	0	0	4e-04	0.012	0	0.0026	0	0.0011	0	0	2e-04	0	0.001	5e-04	0.0021	0.003	0.0012	0.0963	0	4e-04	0	0.0048	0	0	0	0
Deferribacteres	0.0148	9e-04	0	0.0028	0	6e-04	0.0019	0.001	3e-04	0.0032	0.0041	0.0035	4e-04	0.0038	2e-04	8e-04	4e-04	8e-04	0	0.0063	3e-04	0.001	2e-04	0.0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049	0	0	0	0	0	0	0	0	8e-04	0.0131
Firmicutes	0.666	0.5726	0.5528	0.5082	0.5974	0.4286	0.6889	0.4248	0.6939	0.594	0.6625	0.6117	0.4568	0.3798	0.4859	0.4455	0.6394	0.6078	0.5337	0.5289	0.6245	0.3612	0.5774	0.2981	0.7783	0.6597	0.546	0.6302	0.6487	0.6598	0.8546	0.5412	0.9991	0.7236	0.9761	0.3523	0.9773	0.93	0.9951	0.686	0.7021	0.5189	0.9735	0.1922	0.969	0.5158	0.959	0.7745
Proteobacteria	0	2e-04	0.0054	0.0012	0.0019	0.003	0.0024	0.0087	0.0033	2e-04	9e-04	8e-04	9e-04	0.0135	3e-04	0.001	6e-04	8e-04	0.0029	0.0017	5e-04	0.0097	0.0053	0.0122	0.001	0.0068	0.0037	0.0244	0	0.0011	4e-04	0.0023	3e-04	0.0029	0.0118	0.001	0.0087	0.0424	4e-04	0.0077	5e-04	8e-04	1e-04	0.0093	0	0.4052	0	0.1547
Verrucomicrobia	0	0	0.0032	0.005	0	0.0256	0	0	0.0044	0	0	0	0	0.0641	8e-04	0	0.0094	0	0	0.0546	0	5e-04	0	0.1541	0	0	2e-04	0	0	7e-04	0	0	0	0	0	0	0	0	0	0	6e-04	0	0	0.0042	0	0.0105	0	0
