Name	Assigned Name	Formula	Molecular Weight	RT [min]	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C2	C4	C6	D1	D2	D3	D4	D5	D6
Compound33	Pyruvic acid	C3 H4 O3	88.01467	4.225	4172787866.55233	5309766641.55124	1226905474.56394	7352993212.65797	3130449708.52103	5805868318.19515	467178132.605891	1549000917.7488	565334305.716686	1842787528.60018	371087516.927754	3788617315.89794	4733965975.00697	7831696542.32146	8406595599.74431	2364169374.91234	4702580270.14556	4739136018.16776	2847294068.77148	4609675682.7503	60431427.5678044
Compound35	Alanine	C3 H7 N O2	89.04806	3.704	921103133.386481	522894548.873812	92450801.930343	552028803.902485	577614209.992069	733051333.812183	161398528.940424	190958814.778321	191257282.106957	536181600.15996	220055517.770383	459892221.014059	1071150791.88697	753166248.195819	594698114.504187	331555701.991908	547449179.682243	595442018.540913	218991040.891837	537486751.090677	549657209.707317
Compound36	Deanol	C4 H11 N O	89.08443	35.381	6968502.93658129	16731944.5325401	8867821.76137308	19115135.7717265	23656036.6744701	17310776.8020439	31489883.5599771	13372801.2812052	11706689.216098	18596550.2988807	6939684.98800242	20811405.5153357	16959379.5153417	12137967.0015056	34922093.3481858	29421445.8365232	19474962.383244	34481883.3693419	34634042.5352545	34349903.6630659	12589013.3552641
Compound38	L-Lactic acid	C3 H6 O3	90.03008	4.744	723648928.593442	1857657495.77336	1752391777.84967	10661601949.6986	11620801573.2793	4614656419.78119	3502233150.05854	3926687661.10187	3406175488.16935	5126665955.47277	3642527811.98964	11460793102.0358	6124242251.06887	4149389229.51076	8908694932.19994	7802333473.84699	7097062720.36808	5713605745.91793	16438415141.2678	8798761792.11067	1178246365.64372
Compound44	Toluene	C7 H8	92.0627	25.238	3757640.07412424	24616856.7250202	4175725.73259806	23524663.9520751	4640479.32361316	9056821.54403937	3819304.80580915	42660681.0153986	6289334.09985413	43048496.2845922	7237338.87428983	64604572.6970111	4609542.94182686	6182249.70260775	7569989.35985344	6750153.88039882	34974216.4477917	6658028.08613682	5371522.73994106	35846924.6485255	54472526.9254211
Compound47	1-Hepten-6-yne	C7 H10	94.07841	25.287	23460618.3495388	119067402.423402	27691481.1867487	127092257.406169	13305996.1513143	27464623.0074403	7665260.7499905	191065923.696122	15755038.6965513	225653380.809546	15415723.7771559	248627084.465946	15133228.5989338	26561444.0689759	25226159.1510933	12181805.2821424	280214941.14637	45809398.7610931	20042572.0126015	278896960.210189	308536742.471851
Compound52	Pyrone	C5 H4 O2	96.0213	4.132	392330299.512781	470787613.983434	286157716.855201	522417032.851041	377618279.974268	497948776.377198	102277057.168998	400064158.273994	89311229.8152946	408905739.465387	83238224.4040513	287894182.424873	552247690.735582	597721752.165397	295711076.364828	127539474.969095	246276581.834853	94493950.4617118	231836591.292616	223640841.075445	360612809.404244
Compound54	1-cyanopyrrolidine	C5 H8 N2	96.06887	4.267	33143893.2092772	39255047.9766346	20395649.1204338	16810025.6558541	11158579.0243807	23911140.7040533	16082417.2789315	16821098.2604829	20676436.5770649	18494373.4581474	8581512.63749576	23061232.5801073	9409093.73436807	52112475.6533954	17785682.219136	16209000.9093912	30120215.639879	10973637.9213768	12245901.1614008	32540828.6769037	27057809.5238064
Compound61	Phosphoric acid	H3 O4 P	97.97714	31.915	133127349.289898	77474056.0446654	143763945.294275	53400883.5131772	96727517.2594834	82408154.5968192	173319099.847226	88699086.5156824	73654558.287858	55993327.6891714	92819978.7089435	70935136.7690661	48986863.3594037	55981393.5728648	51871838.1876695	95873384.3628676	92256483.619895	115530321.58518	135429097.979033	35624547.1074411	154139354.783116
Compound62	4-Pentynoic acid	C5 H6 O2	98.03712	4.117	170351299.298284	237827954.329461	74304441.2518036	267874635.071526	71413805.3054292	281925930.811462	14587351.2905947	120725738.564111	12243276.6712624	216937495.048382	16202901.7625379	225194244.662969	161234054.140424	342944032.710495	45322789.6387281	32068616.9785783	233234009.950084	41280132.5105108	42156372.856351	136986449.612648	123681769.305247
Compound66	δ-Valerolactam	C5 H9 N O	99.0687	16.223	47271534.24731	69987860.5937725	32947793.1190339	97775838.2973819	22016485.7256612	165438613.10646	109662460.81521	117658754.823034	92851870.1858659	44867443.905684	78972446.6107514	63834292.6672913	118132294.595997	115434740.108611	181428369.310547	58892021.2707937	116019630.753669	39834148.504786	109660074.894813	78604658.27496	77780724.7308929
Compound72	(2E)-4-Oxo-2-butenoic acid	C4 H4 O3	100.01641	9.173	19173820.1667961	17691429.5041982	13582574.6593299	22538658.0481568	17459769.7013678	16179939.3784648	15111400.7677575	98968194.4886486	52115623.4833321	86112189.0043661	50854997.6220874	62100505.7468115	3436761.12448633	13129318.4552688	12976059.0878	22387338.8220574	62343593.9376902	46937272.784488	45477326.7877165	13305255.4064288	7020929.68876534
Compound73	alpha-Acetylacetamide	C4 H7 N O2	101.04805	3.73	118013892.849944	186186276.305889	24699145.4664732	207690003.858042	198638863.966789	246122754.034564	13163742.4418269	43552174.4301466	11221595.2733029	269683806.463592	10943931.2023094	241641999.30219	503849837.611167	395384407.382077	211364282.678567	53075931.2866186	257089609.157014	100086948.923051	58637997.9991278	288830835.871026	359545796.661951
Compound74	(Z)-dehydrobutyrine	C4 H7 N O2	101.04806	4.123	727840216.155965	846325464.601519	583618818.621665	794307374.377011	491938760.489758	774228558.260872	156456937.807996	561085469.117582	113041359.355316	451255349.604725	64250552.3310764	409601753.218436	853904987.267587	1032218867.28607	498675528.973922	185330110.268239	817083372.916757	158611858.814025	215940201.626455	579218595.114526	818890675.069486
Compound75	Valeramide	C5 H11 N O	101.08431	3.727	160105849.422132	115601008.254355	385190993.910845	55722232.5737903	70994638.3826389	55476808.8136961	33707790.0542633	15756235.1441904	40168619.5993638	15159397.1669581	103290741.007678	21769366.119001	161408288.235437	163082004.803255	162916773.303727	209899291.394495	37762287.8579134	94577759.0354664	84278906.0073796	69464994.1412098	67059244.5848218
Compound77	Triethylamine	C6 H15 N	101.12074	10.07	26986288.4506876	26285164.7411734	28926033.3696575	26289621.8999659	32644325.3719739	28023416.6302734	30572155.1771427	36784464.3204264	39468325.9856108	30455257.9236394	39349057.8007383	25648562.0843259	35131786.9986744	36180070.4670781	25559029.8732462	30423171.9510056	35182715.5551339	32423276.1109691	27207994.0560714	32890655.4432823	37929401.5650207
Compound78	Acetoacetic acid	; C4 H6 O3; C4 H6 O3	102.03196	3.778	930607382.564871	1486970369.14941	691429251.420459	2206040468.03664	710812360.921503	1181173977.00498	356811732.44533	1691301764.17927	684202406.649897	996011015.621713	633434612.904131	1083496199.36621	2245819218.48122	2002623949.12256	2476295344.06805	1306276165.79599	1182496611.51805	778401349.2516	63173893.4784724	1393329009.33208	391866109.269726
Compound80	Phenylacetylene	C8 H6	102.04697	6.121	2444380136.2406	2359641646.45266	217331508.356229	353078845.510225	636838868.702875	7904287.17330037	88764681.7185674	154369696.269836	110504364.872315	154354884.172889	212377159.738296	134254266.432996	272897221.014783	313708095.935564	491047363.97683	308978031.985217	283430730.965875	353351281.969795	269597571.106327	226658423.980839	216837810.058749
Compound84	Methylnitrosourea	C2 H5 N3 O2	103.03855	11.091	1160572.06820336	2012031.5293235	978781.263684104	1886260.37142408	1074944.55269522	1683967.24913934	12067651.0292038	8215627.84397143	7860572.15240557	3501675.93735329	6041294.55119171	881172.847690762	1331693.7570003	1906358.4496623	1964172.36439534	349676585.38666	1762334.52475185	44531932.92109	131358980.443945	1975077.05684855	926616.567880375
Compound85	Thiomorpholine	C4 H9 N S	103.04581	6.263	102011654.445467	133497478.636336	6456163.65117525	116310334.737529	38847198.8181923	56825579.0099363	14688499.7465617	27095710.8846625	24662916.9843611	24897408.5466207	31778179.1576961	16530768.9603461	43154726.4473738	67737473.1196579	115559001.951264	29108161.1602671	40838715.3250206	60235692.8169878	39250002.5956104	36909939.3978809	29639872.1399178
Compound86	N-Ethylglycine	C4 H9 N O2	103.06357	35.393	27889045.2085343	74569565.1596498	38068232.0027401	23073925.7155347	43245004.0643249	29454831.8770751	18157240.6599762	29108138.3435282	30390680.7213881	45158773.058691	30980456.637674	26913364.4938335	29758232.0019827	61750737.0020251	30787031.6557486	47375516.8749381	26155489.744592	44890515.9939721	84623142.9308208	104867641.193778	48515345.442312
Compound87	gamma-Aminobutyric acid	C4 H9 N O2	103.06367	3.781	84704337.8966481	52556225.5800968	14118347.8881747	73919897.1436969	81505073.4406251	105457974.797041	4911580.77711774	23667719.8015571	6579799.35978627	32183507.2228655	2689465.15452028	47585256.0247817	255166803.589847	230009037.777564	226873487.932196	26663796.8376366	154010370.958897	41950490.8431174	22713252.4942737	165378105.154761	139620632.848441
Compound100	1,3,7-Octatrien-5-yne	C8 H8	104.06289	18.211	730653860.758144	284456111.354944	365942409.897094	294503464.381047	441454255.725712	343708812.419305	447616884.113883	267271136.257659	466258303.092589	198651888.466696	364114474.602073	404401621.29582	162588855.332663	256631699.551278	535534086.989724	627880089.360177	426797450.767686	443760319.521488	824686695.229784	415734850.332594	477385178.217589
Compound101	D-Serine	; C3 H7 N O3;	105.04279	3.848	114154915.638352	169327614.52463	76840359.5749995	87639718.9692421	125918191.470651	102782827.040205	53248730.7589262	65276140.1450022	52016918.3923347	44723175.4581309	77743857.615507	40270686.536943	157083933.427001	256731963.034161	209698966.089698	94431034.3251385	48058404.6574687	85569717.6809576	82490666.7868289	66560074.9177833	37606412.6409347
Compound104	(2E,4E)-2,4-Heptadien-6-ynal	C7 H6 O	106.04208	16.934	57991647.6083081	152348957.748948	89717776.6055573	119937684.106886	69812389.0978332	171146579.958262	61483313.8907935	173431861.175051	141438125.513652	68868672.7434407	108443372.639259	151196812.835005	81448154.8261102	201120499.925122	138885060.696608	149765552.042138	161287264.49793	85025409.1496357	212463830.855924	149998895.824584	165623207.231376
Compound105	3,5-Octadiyne	C8 H10	106.07821	25.33	5461915.66377625	54704115.7944566	12414641.269506	55766237.1052784	5707450.78415811	8519058.08590138	4043708.22460459	89285742.5771625	5847382.41346865	111570617.082322	5401804.81564298	142283782.543049	5357170.45352489	10302719.7969551	15732949.3637506	13230874.0087596	118164263.558423	9649339.73998973	7994451.73392712	102299852.749327	149237827.863919
Compound109	benzoquinone	C6 H4 O2	108.0213	3.768	8225156.06297053	11939452.8471767	2535636.77212277	10043225.5055058	9365860.51100093	18106455.0984528	1310829.07680511	4636620.35488767	825178.514228763	7594154.89506023	686053.708249153	8221625.74490071	12227567.5482454	21549077.7143378	12051293.7684359	3048246.3988034	10223246.4740395	4476270.90659577	3459271.63112263	13722226.0776578	14831874.8079476
Compound110	1-Octen-7-yne	C8 H12	108.09406	14.185	801778261.465212	2418035169.53657	289419968.893947	198806604.411793	503664944.094693	467859915.856635	504628936.200181	48483968.4639098	27712917.2010218	218986455.629152	172205424.097736	133490438.152947	68344956.9097612	801313817.515649	608355711.331322	65136275.2563098	3278517687.9122	397379993.221212	98918123.2116349	80091636.191707	59418878.8602487
Compound113	2-Amino-4-methylpyrimidine	C5 H7 N3	109.06419	3.681	209396021.735852	64930910.9214701	16612555.4619167	125249500.542765	72285828.6260459	111286128.342388	28549805.32247	42174251.1476584	39587901.6939787	72540776.9640721	30091369.5211052	82815075.643929	210482544.38669	130058169.101059	83822201.8410911	33342039.0405155	133743577.405326	78704812.1786508	21148143.3731895	149589802.40003	131020076.994742
Compound114	Dimethyl phosphite	C2 H7 O3 P	110.01318	0.48	103127.701694605	113191.105982188	161688.924199807	323627.640657974	26856124.0102647	23041618.2414361	120757.128417392	23164368.00757	22033928.5719817	20621060.085788	24540438.5687192	20669012.5924444	15306854.0048545	16434517.2626537	11397615.5131112	120388.236061514	10339140.4831683	14608098.1383519	28209386.9145102	9765637.38875544	7181545.36409105
Compound117	(2Z,5E)-2,5-Octadiene	C8 H14	110.10975	12.822	400835041.025409	1884522996.97309	246002513.106386	1356839877.67583	177229785.784541	541616110.960809	268278093.825443	299411665.675807	349106571.406864	302342546.992606	397346583.616553	268374200.42461	225088083.904264	1694361348.6426	1274231509.28814	430161088.67465	2104104967.19457	344524395.453381	505887995.254216	1046386618.43622	203011491.980899
Compound120	N-Methylcyclohexanimine	C7 H13 N	111.105	3.364	84462479.3291476	94115470.6947052	46117505.074529	60149086.5926331	39375534.6133002	46880441.2701035	124148052.704097	47330616.0312807	73969354.3168399	28803946.3708535	105075914.511795	59842176.9489078	14690034.6577432	40172381.5877191	67851675.736738	52816157.4122471	66513530.6640341	42095356.0153967	60485239.7864999	58694058.2280005	11177789.1078366
Compound122	Fluoromethyl methyl disulfide	C2 H5 F S2	111.98157	3.87	64014205.4897843	435457552.293472	17520050.3620009	342375337.033231	27367111.9920601	360819921.623347	20756784.0361777	25036709.3776895	23948055.2105095	22260983.1588283	26845740.9821667	29898262.1445562	179172429.197413	407506388.600057	278381908.822297	22184077.6632712	256778908.386034	20735875.0689816	2120229.37739053	278976360.732734	1721105.78920797
Compound123	Uracil	C4 H4 N2 O2	112.02583	4.252	117184700.511452	112746103.791301	27056758.4102155	96500689.8818582	47332207.1911364	76222156.9951529	4157632.46255977	13384992.2661845	11469507.1159843	19918557.0688435	3954913.17817177	9042303.34009788	315744059.892185	244448245.292006	685952831.823266	46221805.2084268	125810330.172045	122889890.477409	8126655.19301625	87985514.0742254	6363427.9181737
Compound124	UDP-N-acetylglucosamine	C17 H27 N3 O17 P2	112.02585	4.805	11733861.4603736	23072106.3170617	26460703.2641778	33670197.7280258	13657208.6289238	23565606.789973	12792875.8183489	17231005.5323067	20167011.8305609	25644782.5165651	26254101.1102013	28142712.346417	25128695.3949241	47792275.0715042	50135974.2231051	28694820.1360185	20615673.8883808	34550947.7618252	36067143.5816652	42296565.2978556	154232865.455412
Compound127	Creatinine	C4 H7 N3 O	113.05892	4.012	60306609.2717974	27116488.333939	68095690.8146133	68421837.6231191	372740072.038278	40051254.1934225	15986618.683302	237923776.539232	231235803.647386	16616189.3846344	45366126.0481385	21564639.3958938	59158688.7133215	49070751.8247331	140199612.900915	160742264.688359	22633055.0466221	33754534.500514	78466836.9217032	99217790.8435152	72372150.4173324
Compound129	Cyclohexylmethyl amine	C7 H15 N	113.12066	10.809	17303715.2165335	27887244.7674537	40294912.4322955	77126272.6368631	21053697.109538	76631518.7650931	92835705.3307374	73175392.4741586	87832986.4978122	47360372.0493652	75282137.1859723	70120105.8942395	58876127.1467298	54572751.4246986	131061719.373366	147677225.18423	131462048.049012	70277124.9931296	121242509.763905	71301953.5455981	70144009.6167501
Compound131	3,3,3-Trifluoropropanol	; C3 H5 F3 O; ; C3 H5 F3 O	114.03023	4.142	468406900.625673	686916674.390209	325313967.045067	534890162.060831	255705067.023927	518724595.256537	159825652.9466	476036308.605534	174549445.350706	392497093.883347	247236147.632119	325547886.328008	474969257.796237	528539842.901777	302661898.77646	313268969.426041	325629024.210719	185265882.334734	403226415.033237	305384904.136794	257075770.470619
Compound132	Prolinamide	C5 H10 N2 O	114.07934	3.48	432944109.463136	579416095.536133	194870004.556834	267944417.385508	248862277.964174	266569288.346979	199057493.742532	124023576.183739	167183879.068138	107426338.181029	163039981.435319	138865770.077313	610025268.18866	504994910.375575	394986436.233447	161998516.013794	223969865.368964	278896587.239531	132552688.744573	179667202.630732	355183738.855453
