"",f.value,p.value,-log10(p),FDR,Fisher's LSD
Compound2761,61.642,7.9241e-08,7.1011,1.3325e-05,PFOS_10mg - GenX_100mg; PFOS_20mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_5mg; PFOS_10mg - PFOS_C; PFOS_20mg - PFOS_5mg; PFOS_20mg - PFOS_C; PFOS_5mg - PFOS_C
Compound2265,57.685,1.1253e-07,6.9487,1.7571e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C
Compound934,55.15,1.4262e-07,6.8458,1.9693e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C
Compound3147,54.869,1.4651e-07,6.8341,1.9693e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C; PFOS_20mg - PFOS_10mg; PFOS_20mg - PFOS_5mg; PFOS_20mg - PFOS_C
Compound1745,54.409,1.5315e-07,6.8149,1.9693e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C
Compound1394,53.066,1.7469e-07,6.7577,2.0151e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C
Compound83,52.167,1.9111e-07,6.7187,2.0151e-05,PFOS_10mg - GenX_100mg; PFOS_20mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound182,52.05,1.9338e-07,6.7136,2.0151e-05,PFOS_10mg - GenX_100mg; PFOS_20mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_20mg
Compound1640,52.04,1.9358e-07,6.7131,2.0151e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C
Compound962,47.383,3.165e-07,6.4996,3.1449e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C; PFOS_C - PFOS_20mg
