Name	Assigned Name	Formula	KEGG Pathways	Metabolika Pathways	Molecular Weight	RT [min]	A7	A9	B8	B10	B12	D7	D9	B7	B9	D8	D10	D12	A8	A10	A12	C8	C10	C12
Compound93	Cytosine	C4 H5 N3 O	NA	NA	111.04341	3.751	151354.865745354	247751.158639573	2656521.88334383	1477777.66599837	1284139.39768777	13754.0774447145	17609.5086680229	84327.673774662	14996.6473284018	126258.553410911	73156.4989950117	55194.172095109	1703720.12908057	1302387.57312621	153291.867322672	668028.146128834	295646.132906414	378550.27312279
Compound96	Histamine	C5 H9 N3	NA	NA	111.07983	3.324	25878.0386119163	28979.0174529147	64611.715875472	589943.695794859	142185.267075578	44647.732450642	28651.5972969463	13420.6000928165	9322.64370906146	237028.081517589	465518.435686755	160810.018373766	85578.3606065906	155687.138917067	109231.910162975	97863.909581486	727374.545599656	142173.231288654
Compound99	2-Furoic acid	C5 H4 O3	NA	NA	112.01605	3.226	9487.29511557415	7906.97765535581	846343.848637002	111578.659955281	672377.691842577	4090.70704647046	2218.93032243076	2743.73838892518	4151.78066047721	109388.65744912	28706.4259567548	110559.929216103	586994.754389572	158079.893064348	52296.7451140123	46568.1814275605	30158.6386668919	37337.8328941417
Compound100	Uracil	C4 H4 N2 O2	NA	NA	112.02579	4.213	2463554.40603603	2721943.03127797	4684439.18187866	2290343.59802015	2808058.27989005	718436.404958108	1254690.0458763	1545830.05093731	499985.063270823	13473241.3346442	834691.028156954	657319.960259817	7455934.15432869	6008215.20083268	866113.411706822	1834535.52613093	2273253.72056832	1107309.80963424
Compound105	Creatinine	C4 H7 N3 O	NA	NA	113.05906	4.111	252211.380452067	627705.717121353	836518.854229144	2822101.28393549	1551890.50099017	315910.710225131	267707.067573852	436103.48662776	532458.749335275	3679260.20434841	1419631.06728669	845575.224912249	534376.967129046	2008795.31724863	1005406.83796241	2141072.21438101	6853098.16918332	3735389.90710354
Compound114	cis-acetylacrylic acid	C5 H6 O3; C H2 N6 O;	NA; NA	NA; NA	114.03184	4.164	1898175.65341902	2358149.31866187	1841484.9161114	1033412.39539593	2405205.82335324	870585.013375217	871342.434415011	1398294.18302462	686728.595367939	4468372.01001675	1946785.48002161	555135.222139392	1908260.73685184	2165974.31160232	1140328.93166992	1125712.29063777	747758.905322753	1156224.51999013
Compound115	Prolinamide	C5 H10 N2 O	NA	NA	114.07946	3.626	26895.1263415248	27753.7725932348	103191.968297117	198997.121798739	115191.217416916	20130.5507590046	14887.0491939556	19073.3940504645	14168.8429564345	96237.1065251483	70539.7356484489	38675.1455458116	129189.538758231	157681.808128077	213839.524737116	297560.617761377	93318.4371152409	67912.7873768304
Compound117	Maleamic acid	C4 H5 N O3	NA	NA	115.02685	3.523	2590715.92008595	1391607.23838201	8530565.65139523	9541018.46641826	12767786.4850239	606886.653552948	577820.134379643	856731.928638092	574679.449478003	20082864.782948	2917853.19068655	43063942.4603294	6660703.93920275	29407200.6492419	6830866.17969526	10097942.043653	7460266.85507955	9639479.54413938
Compound120	D-(+)-Proline	C5 H9 N O2	NA	NA	115.06347	4.625	24880873.5073584	18351508.7438389	73307498.452379	26155456.5476503	57701486.7815646	11925202.9999584	13754559.0830765	13563080.3449983	10502332.1612665	182286663.084933	43484779.0500869	43940649.6851594	89320758.2897512	143053643.77783	36440899.4524169	57176868.202524	30654167.1660365	23820473.2043172
Compound122	n-Hexanamide	; C6 H13 N O	NA; NA	NA; NA	115.09965	3.952	1050125.62316898	1046460.19442029	2427345.50748866	2599217.88228566	2787758.58670795	1503276.65639915	802827.830755208	1880709.74224676	1288622.66480929	7437093.97696486	3200065.89290391	1673686.00869309	2368342.76898647	3424511.82759956	1956430.61944084	1906124.50986426	2767433.47206688	1973292.73564399
Compound125	Levulinic acid	C5 H8 O3	NA	NA	116.04744	4.068	32317.7834038201	22005.3692987771	340047.383820541	1718465.97615883	64913.1213588499	25005.4983557744	15599.4261932967	25908.6230993017	12326.8496832364	853354.738907219	1223877.36861056	459979.802379796	43592.3657768574	19706.5329564429	182276.634995328	362588.255860164	126616.705291192	212512.966178757
Compound130	Indole	C8 H7 N	NA	NA	117.05792	11.717	3941256.67881132	4785704.33154436	11246099.4791785	3374137.67163512	6337106.37381734	2103713.92606791	3310201.23430904	4122333.19738524	1708056.46835147	22577781.0619377	4173893.79985268	4369143.94212738	15203161.9659537	17442184.1410548	7428738.45331122	6484287.73510892	3747877.81474457	2876969.41206752
Compound132	Benzyl isocyanide	C8 H7 N	NA	NA	117.05809	10.685	1664794.43696478	390406.450614544	1097604.83795037	354151.418757821	1063701.31549528	396996.978569273	414319.104181911	642203.315846188	293270.27694836	1533819.77304487	1183247.84364925	801535.831687283	1586803.56544092	2053797.92035983	318934.343029335	960125.397269913	385054.190635141	353362.162737423
Compound133	Betaine	C5 H11 N O2	NA	NA	117.07902	3.68	3981135.10857395	3717588.76529654	4628813.65748705	3898323.61248598	8071135.51720089	5237366.58338065	4340389.48153889	4757650.92626708	4344069.14141878	47863455.4947939	4030768.48314375	18334351.4982106	6014963.26601235	17473303.7566938	2183445.2308148	12690461.0783699	4996074.50157408	9542223.74887519
Compound134	Valine5-Aminovaleric acid	C5 H11 N O2	NA	NA	117.07908	4.159	21236671.0783214	11767120.4051199	56413542.6265676	27712723.6351065	40131862.236674	14659354.7367828	10207320.6467384	15777778.4021633	8204971.28163531	112719912.077553	24963597.8481662	71161079.3412108	45460660.3285326	84774092.2399017	24469431.7705017	45094499.3133148	27920991.4998672	25866900.4954622
Compound135	L-Valine	C5 H11 N O2	NA	NA	117.07909	5.056	23132902.131642	17386056.311439	84610423.2856125	20947870.9096251	56830718.2444209	10508565.6256093	11065164.0522317	18881460.6549362	11281154.6239744	159737701.285375	39128687.7321995	34275846.5935936	74528640.08168	137890499.202699	35436603.6271074	58918603.5048398	33289882.2494694	26000231.9689672
Compound142	2,3-Octadiene-5,7-diyn-1-ol	C8 H6 O	NA	NA	118.04185	5.45	6062125.85331568	2432395.64721749	7393677.98464514	5403404.77489324	7368551.19757065	1285928.92766254	1328542.88025659	2151145.98397622	1375096.45486006	47131995.5744872	8424943.57928705	13275579.0237999	26228782.101615	42490159.0740471	3151223.6248462	14173797.855944	11275919.5894004	8927889.61540323
Compound143	2,4,6-Octatriyn-1-ol	C8 H6 O	NA	NA	118.04185	9.942	2458099.3958037	1854830.17749486	8865098.18993349	868912.786932125	5712694.49017468	2387016.8942524	2181808.56002619	5329764.24262676	2246883.91207339	12324471.972372	8752446.57607036	2173134.27514522	5382677.03323986	12575783.4457048	5387629.86720404	3513175.7171827	1802941.94647599	775511.200797709
Compound145	Indane	C9 H10	NA	NA	118.07832	17.497	617380.647610435	294283.613037882	863840.78719988	374748.155133338	1356613.92597465	32753.4580924892	598965.872059784	25814.0605014604	88535.8346152293	268742.627584192	356682.639762418	206412.352782351	599424.95855256	369170.7792969	48975.0425741835	97880.8830128446	24109.365040013	363959.311297843
Compound148	Phenylisocyanate	C7 H5 N O;	NA	NA	119.03983	10.78	329907.965063725	287401.332506396	197879.069715956	110424.499593993	366532.391094244	122053.498934507	158659.726917703	275906.714668926	150297.571669683	1441587.65831718	210838.703252765	154572.321463241	924252.198270552	98301.4070837411	162691.983756803	534212.510597016	305939.100769684	96823.1362128058
Compound151	L-(-)-Threonine	C4 H9 N O3;	NA	NA	119.05844	4.433	1794700.84821763	915152.698655809	7156298.96252756	3447498.81930834	7016213.05572646	175225.285710998	225323.672137088	910435.743472064	440285.926937881	24387728.2281163	3533386.30459251	10379237.8030902	5389205.84797278	21357674.7309968	4568127.60446868	6294974.64549901	4508898.98782335	4520106.89273729
Compound163	Acetophenone	C8 H8 O	NA	NA	120.0576	9.92	10287.0221839322	75241.561149653	100618.544336925	93812.6396166567	94747.9836538388	31753.8217761623	30029.1164275375	60556.5276684224	30325.7074746987	61573.4595220148	269963.348843086	119061.922049017	39548.1547264473	98641.102087367	49381.4343312684	45860.4491869295	135876.525824673	107296.417560517
Compound171	4-Hydroxybenzaldehyde	C7 H6 O2	NA	NA	122.03692	4.154	493944.350478086	261495.924083238	1326770.58207044	890865.132499986	1234251.31146348	171670.812692107	206510.611922241	261377.24302866	190309.322191476	2225419.56417802	921121.241108	2793635.46611827	896946.299303702	2357498.77919532	1549611.08467611	1354987.21522519	1544784.29898566	1293257.93723743
Compound173	Nicotinamide	C6 H6 N2 O	NA	NA	122.0481	4.657	70125.4752144218	45531.0305478231	152758.556860467	156090.482915639	133991.190846406	682193.021582823	111043.485360697	1313998.95455964	863821.113261612	2553796.29105508	1116434.7278869	2482501.19031095	139285.162822098	111495.752345876	160883.634276681	84772.6329244594	2385872.032822	102629.689416633
Compound178	Nicotinic acid	C6 H5 N O2;	NA	NA	123.03209	4.233	639690.278884606	672042.383730005	1707235.79671319	3267382.65469071	1520983.28974471	114905.39800434	221651.210427338	89125.2657266792	44272.8624772895	1540611.02552391	466039.220919782	92160.5532011245	1994770.72296003	1411391.79917951	810441.60516436	1013721.88479843	1175148.47614421	1411165.60604448
Compound181	Taurine	C2 H7 N O3 S	NA	NA	125.01322	3.441	12401958.681755	10161466.6797749	36760960.6211583	4299043.7389308	39019423.9331762	3142864.61488662	5108782.55606257	2116396.75264568	1618050.99971922	20828729.2223675	1366587.69446653	6566268.82555043	55308303.2096375	55688334.7041454	3390361.96018918	5286575.39293137	1894843.8496858	1782984.92987877
Compound183	5-Methylcytosine	C5 H7 N3 O	NA	NA	125.05892	9.852	60178.6020554677	33804.5017055144	644776.040061784	26966.0561330459	214229.042077033	18718.2984827507	28393.3801071815	77740.2540917568	31085.6256254231	405420.047244452	131955.480145381	33099.1427303383	153814.365276264	641900.066530256	116959.465950881	63218.5985940327	13313.8943198978	12542.116643831
Compound184	2-Ethyl-4,5-dimethylthiazole	C7 H11 N O	NA	NA	125.08402	4.128	227399.54809014	122735.796645251	325823.01131587	183356.580061812	408630.224613973	92858.0354393355	69493.2249077703	103531.900812368	62391.5964461735	2104621.49653228	344720.168237965	109587.575659526	634572.596045014	765153.165727114	186842.964318027	430987.284775066	1123679.65459234	180531.388240649
Compound191	(2S)-2-Amino-4-hexynoic acid	C6 H9 N O2	NA	NA	127.06334	3.493	5499845.68582796	1841472.75255555	5828357.09085172	1006233.80510398	3922117.14403027	569996.461686978	625417.078782439	707920.533554832	358661.841758616	6826653.43076605	913122.488911883	1979912.46060169	4810073.55629693	8706024.70946089	1285046.57667464	2720376.91802839	1684746.30043822	1207036.52396252
Compound194	LQ1825000	C7 H13 N O	NA	NA	127.09964	4.108	2056519.5944068	1745446.68714233	4569544.86533612	6663751.14705302	4622986.76972002	1105871.80865616	1279471.38791135	1813286.34148435	1639311.93190665	13587926.8160844	6135706.22537493	4284990.45960442	5808290.60700014	9179481.51789359	3287410.03261008	3804649.10179508	8031610.72012117	2993525.10771919
Compound196	Dihydrothymine	C5 H8 N2 O2	NA	NA	128.05843	3.737	282679.754538114	176329.470673707	462510.366124151	503666.345220029	456270.806825759	55583.4295662182	362016.5413951	273222.67519014	63873.2133861286	322768.611643728	539396.662853138	137551.280856789	1114344.98944375	1037332.39474588	531340.279317368	281436.046814811	678988.571547573	218645.926982286
Compound197	4230434	C6 H12 N2 O	NA	NA	128.09532	3.185	67866.5670332226	32871.252473012	211320.06858811	74553.2838712353	129115.189329294	17602.9153936826	17739.8052854446	36999.7914808561	16553.0012567331	619639.635211894	65737.593264352	719454.418019656	303857.729940058	621201.484999833	77276.7988345329	120201.71815908	93887.4798444184	72141.3252213983
Compound200	4-Oxoproline	C5 H7 N O3	NA	NA	129.0424	4.198	666413.899255794	662676.222004143	5163259.16594537	1920992.53705556	2223360.90678922	350516.893172826	744241.417806576	360458.032817737	129520.370913892	11312518.3219114	1243469.80391192	1121774.06264092	4926950.20929549	4205670.28966689	1338119.27692178	3780882.39076507	895288.833414115	1040777.54116195
Compound201	L-Pyroglutamic acid	C5 H7 N O3	NA	NA	129.04259	3.504	3270654.08756773	1369700.2873918	9580056.18115095	6621229.51216979	10927872.2555156	933599.086088965	617957.47189913	976080.016211692	689552.429375854	26397959.3022091	6418266.33464332	39453232.1108242	10568163.2615789	27355106.7006517	7105460.5309862	9289939.90839053	7269525.97498621	6621578.88209348
Compound204	L(-)-Pipecolinic acid	C6 H11 N O2	NA	NA	129.07898	3.194	5405806.74709466	1300130.20158581	23953154.2452285	3878342.5583351	4426649.76751224	1354213.5333649	1404781.91425068	2317132.71170299	1164049.63787579	66982181.8888628	6286754.68456583	53691316.8869215	26056733.0053423	80048683.7565557	8933548.04487059	11246337.7806676	8478876.43732616	7631324.20481999
Compound205	D-(+)-Pipecolinic acid	C6 H11 N O2	NA	NA	129.07898	3.909	11477526.5649622	13307548.7086307	11038175.5391614	8356153.68350265	56300470.1714083	4709454.45702684	4853614.40760729	4255644.42876668	2380616.31454554	33670074.8096464	6015820.31317102	25308722.974274	13725175.7101522	48319781.6896357	9418243.32518737	11566427.7379087	10064253.7740906	13400837.3764233
Compound207	4-guanidinobutanal	C5 H11 N3 O	NA	NA	129.09027	3.475	739218.596668517	344500.790527665	1081686.88493493	715980.843109654	1227665.12832444	198874.839030513	246494.160561886	365019.392574789	198250.237275835	4080084.8909012	1008454.65975507	1578908.44440208	1541990.78003183	3857180.99243783	688563.001995136	951600.818921903	1176559.95591102	600516.465478391
