"",f.value,p.value,-log10(p),FDR,Fisher's LSD
Compound491,6.9179,0.0014214,2.8473,0.0081862,GenX_10mg - GenX_100mg; GenX_10mg - GenX_20mg; GenX_10mg - PFOS_10mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound4343,6.9144,0.0014248,2.8462,0.0081862,PFOS_10mg - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_C
Compound956,6.9127,0.0014266,2.8457,0.0081862,GenX_100mg - GenX_20mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg
Compound4391,6.9083,0.001431,2.8444,0.0081862,PFOS_C - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; GenX_20mg - PFOS_10mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound871,6.9038,0.0014354,2.843,0.0081862,GenX_100mg - GenX_20mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_20mg - PFOS_10mg; PFOS_5mg - PFOS_10mg
Compound3465,6.9036,0.0014356,2.843,0.0081862,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg
Compound2084,6.9027,0.0014365,2.8427,0.0081862,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound4342,6.9012,0.0014381,2.8422,0.0081862,PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_C
Compound2731,6.8953,0.001444,2.8404,0.0082011,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound2076,6.8916,0.0014477,2.8393,0.0082035,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound475,6.8855,0.0014538,2.8375,0.0082197,PFOS_5mg - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_20mg
Compound847,6.8601,0.0014799,2.8298,0.0083482,PFOS_5mg - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_20mg
Compound3820,6.8567,0.0014834,2.8287,0.0083493,PFOS_5mg - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg
Compound2239,6.8458,0.0014947,2.8254,0.0083871,GenX_100mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound1168,6.8409,0.0015,2.8239,0.0083871,PFOS_5mg - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg
Compound1162,6.8406,0.0015002,2.8238,0.0083871,GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C; PFOS_10mg - PFOS_5mg; PFOS_10mg - PFOS_C; PFOS_20mg - PFOS_5mg
Compound62,6.8332,0.0015081,2.8216,0.0083907,GenX_10mg - GenX_20mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound2942,6.8328,0.0015085,2.8215,0.0083907,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound583,6.8305,0.0015109,2.8208,0.0083907,PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound921,6.8157,0.0015267,2.8162,0.0084434,GenX_100mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg
Compound2213,6.8152,0.0015272,2.8161,0.0084434,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound2328,6.8062,0.0015369,2.8134,0.0084784,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
