"",f.value,p.value,-log10(p),FDR,Fisher's LSD
Compound4853,17.593,8.7569e-06,5.0577,0.00091181,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound3161,17.146,1.0212e-05,4.9909,0.00098583,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound1143,17.133,1.0257e-05,4.989,0.00098583,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound3088,16.842,1.1356e-05,4.9448,0.0010511,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound2220,16.477,1.293e-05,4.8884,0.0011277,GenX_10mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_20mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound3677,16.444,1.3087e-05,4.8832,0.0011277,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg
Compound4640,16.178,1.4409e-05,4.8414,0.0011848,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound2866,16.069,1.4999e-05,4.8239,0.0011848,GenX_100mg - PFOS_10mg; PFOS_20mg - GenX_100mg; GenX_100mg - PFOS_C; PFOS_20mg - GenX_10mg; GenX_20mg - PFOS_10mg; PFOS_20mg - GenX_20mg; GenX_20mg - PFOS_C; PFOS_20mg - PFOS_10mg; PFOS_5mg - PFOS_10mg; PFOS_20mg - PFOS_5mg; PFOS_20mg - PFOS_C; PFOS_5mg - PFOS_C
Compound2969,16.022,1.5259e-05,4.8165,0.0011848,GenX_100mg - GenX_20mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound3656,15.886,1.6041e-05,4.7948,0.0011848,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
