pathway	Colon_A1	Colon_A2	Colon_A3	Colon_A4	Colon_A5	Colon_A6	Colon_B1	Colon_B2	Colon_B3	Colon_B4	Colon_B5	Colon_B6	Colon_C1	Colon_C2	Colon_C3	Colon_C4	Colon_C5	Colon_C6	Colon_D1	Colon_D2	Colon_D3	Colon_D4	Colon_D5	Colon_D6	SI_A1	SI_A2	SI_A3	SI_A4	SI_A5	SI_A6	SI_B1	SI_B2	SI_B3	SI_B4	SI_B5	SI_B6	SI_C1	SI_C2	SI_C3	SI_C4	SI_C5	SI_C6	SI_D1	SI_D2	SI_D3	SI_D4	SI_D5	SI_D6
PWY-5529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.4651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.3641	0.0	36.8384	0.0	0.0	0.0	0.0	0.0	22.6125	0.0	0.0	0.0	0.0
PWY-5531	0.0	0.0	0.0	4.0858	0.0	2.1461	0.0	0.0	0.0	0.0	0.0	0.0	2.0669	0.0	2.0345	0.0	0.0	6.1196	0.0	0.0	0.0	0.0	0.0	0.0	7.5912	47.7707	0.0	17.1493	0.0	5.4202	0.0	0.0	3.6408	0.0	19.3628	7.101	38.3849	59.0059	16.8704	245.4132	0.0	0.0	0.0	24.1657	0.0	0.0	0.0	0.0
PWY-5532	0.0	0.0	0.0	1.3699	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	1.7309	0.0	5.6309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.967	0.0	0.0	0.0	0.0	0.0	18.1246	0.0	0.0	0.0	3.8769	0.0	19.5653	0.0	0.0	0.0	0.0
PWY-5647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.1731
PWY-5651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	319.1862
PWY-5654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0
PWY-5655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	264.0372
PWY-5659	4277.236	5547.801	6686.9626	5908.2698	6797.1404	6185.1475	4708.09	6411.7036	5142.8184	4990.089	4573.354	5509.98	6288.1893	6170.5419	6248.4245	5514.6149	5240.8606	5406.6629	6775.6237	5793.4111	6491.9337	7131.0696	7305.7094	6636.4578	3301.3355	2321.2298	7147.4383	2787.659	6479.3384	4947.9252	6533.4988	2144.2418	6721.4794	3304.7805	2449.5792	5592.917	2276.0463	1880.6747	2720.033	4726.2799	3680.0327	4368.3192	8812.3542	7899.2359	3630.7416	7247.7571	4895.028	4739.3018
PWY-5667	9705.494	9658.7592	10054.2578	9271.4238	10500.9818	8844.6664	9891.5775	7998.5091	10141.4537	8895.8711	9451.1867	10134.2491	9026.1664	7531.9102	8873.2762	8610.602	9488.8411	9537.3122	9796.4688	8779.0996	10194.0628	8889.3953	10002.0739	7892.7956	6478.791	8133.1577	10491.2167	9353.4071	10777.762	7419.1993	11405.1462	7143.5456	12549.3153	10049.9715	8589.4701	7825.1493	8558.7217	9719.9786	7625.3138	9055.6175	9657.6439	8686.5642	13078.1874	8971.9865	11702.0791	10553.47	11242.5333	10558.4288
PWY-5676	1948.3082	1227.246	2995.9578	1016.6998	5910.7772	893.7357	5035.2555	334.1057	5179.1095	1144.4646	721.1378	1149.4395	770.9416	610.2507	1641.2399	461.6934	260.7851	1233.8318	4322.1559	2602.3501	3239.0013	1795.8266	759.5804	1932.8857	4092.5825	53.8293	4763.8133	36.3753	5149.5254	7.6294	9829.4818	30.3745	10645.0356	713.0065	113.4498	15.034	0.0	289.1294	0.8905	135.7981	9.1785	100.9062	12325.4571	145.2406	45.4407	992.7016	7384.9506	2934.532
PWY-5677	301.0879	205.887	111.7233	183.8409	78.9693	174.4947	103.3323	83.6057	115.224	814.8153	247.6592	184.809	151.1566	147.4762	397.3317	92.9447	92.6186	251.7823	60.087	658.6063	202.463	427.0096	176.158	497.6029	19.3136	71.6335	1.2597	0.0	0.0	0.0	0.0	1.0839	0.0	12.8366	83.873	0.0	0.0	65.3922	0.0	51.3546	0.0	20.1493	7.9897	58.5313	0.0	130.0093	75.3644	437.7757
PWY-5686	9267.1505	9281.5834	11142.855	9207.9954	11585.7951	9040.2515	9938.2397	8147.2043	10196.3958	8660.5473	9199.7864	9914.6302	9457.406	7927.8703	9620.9722	8821.0229	9784.7324	9434.2689	10625.6421	8796.6438	9930.3991	9376.7785	9069.9677	8153.845	5480.5657	7755.0397	12277.8412	9480.9002	12069.4041	7616.2806	11623.4616	7071.5726	12685.3655	10347.2829	7720.1182	9228.5935	7564.0231	9151.8877	6387.8573	8891.6584	10092.5693	9374.3838	12880.5458	10730.5507	10247.0738	9311.8144	10953.2669	9563.5375
PWY-5695	4031.9944	5100.3414	4560.9926	5678.6448	7839.637	6375.0986	7464.2097	6337.9455	7819.6295	5657.3984	3326.3217	4488.8256	4816.9915	6678.3187	4833.7102	4605.3916	3719.0529	4624.7587	6918.4526	5159.6208	6728.015	7743.9912	6700.3933	6246.984	5291.8062	2992.9856	5591.7138	2459.0119	6107.3542	894.6223	10307.6751	3005.8922	11000.499	1970.7451	1894.1731	1744.471	1543.8412	1440.2939	1766.1937	2535.5402	1634.2463	1724.1387	12413.0569	1260.8511	4136.0635	7351.4929	8743.4613	5662.9273
PWY-5705	357.3757	350.1225	52.7944	120.6695	88.4445	205.2998	92.5387	328.043	114.7304	259.7696	152.4805	290.4026	108.083	183.219	145.7728	139.5559	138.7481	142.3934	34.618	342.7612	112.4216	224.7317	69.8683	227.1204	14.4608	142.7539	1.5472	108.0297	0.0	15.6446	0.0	53.7586	0.4	9.5243	50.5718	14.226	35.8771	149.2334	3.13	251.095	16.0994	4.1668	35.7367	87.3732	0.0	964.6982	163.3348	155.1763
PWY-5741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2753	0.0	17.7441	0.0	0.0	0.0	0.0	0.0	6.0157	0.0	0.0	0.0	0.0
PWY-5743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.681	0.0	0.0	0.0	0.0
PWY-5744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3802	0.0	0.0	0.0	0.0
PWY-5747	0.0	0.3914	0.8931	4.8122	0.0	8.9013	0.199	0.7651	0.0	1.7136	2.3043	0.3806	2.3494	0.0	3.9348	2.249	0.0	4.5046	0.0	1.1497	3.9562	9.2234	0.0	7.9108	14.7101	109.3533	0.1333	332.068	0.0	8.9629	0.0	1.5574	5.1707	0.0	47.0098	7.8192	47.6847	169.5339	5.187	408.7734	0.0	3.1244	0.9333	57.3341	0.0	3712.5709	0.1976	788.6765
PWY-5837	419.476	122.4296	1475.627	215.2516	3334.5851	260.0011	2866.1517	216.0148	2930.0738	113.371	299.037	145.7143	214.647	582.2745	77.277	166.3056	237.9425	163.0675	2483.7383	377.9728	1615.4433	106.0453	1022.9624	979.1351	2717.3772	664.1193	2469.6494	628.1588	2796.5503	203.1561	6455.9483	641.7806	6651.2665	715.8346	258.1417	451.5308	301.5345	235.5513	33.1607	635.9234	338.9072	484.2341	8445.3862	209.3893	5673.0934	1031.0612	4123.9895	235.2407
PWY-5838	958.8199	389.1967	2403.9279	654.3093	3243.7883	787.7293	3762.6624	660.9873	3853.9057	352.3148	818.2585	452.5023	643.003	1522.4291	252.7756	520.4466	711.5788	505.9827	3689.3792	992.4487	3178.0738	345.5837	2376.3727	2214.3814	2217.1154	1556.1624	1173.0844	1599.067	927.1957	542.2842	2659.8613	1617.483	40.6214	1349.7787	405.7938	1180.4946	388.0177	671.3036	80.6496	1408.362	841.5976	1137.8677	622.6988	588.5806	607.4187	1930.5377	1136.4188	693.9732
PWY-5840	976.9964	390.6175	3111.9605	657.3855	5130.5914	789.0724	4401.9222	661.9491	4454.4672	354.2244	836.6435	455.0413	647.2961	1515.5908	253.6644	522.8942	724.4781	509.2452	4393.3362	1002.4681	3326.584	345.4046	2436.9065	2202.09	3518.87	1707.9213	4525.7791	1739.6553	5016.8344	612.1417	8072.0263	1713.5973	8526.7139	1984.4361	801.2718	1271.89	826.5281	747.9628	111.4897	1788.6238	1009.9443	1262.1477	9016.0404	618.9332	8202.9777	1918.8339	5040.5037	702.9737
PWY-5845	782.341	299.8434	599.5332	475.0116	790.6747	308.7882	1044.8766	513.2982	766.3384	267.1624	670.998	354.0478	507.1818	533.6812	182.6722	407.4145	486.9097	386.9572	502.0569	249.4376	844.3258	254.3755	557.6237	374.7781	2217.1154	1437.1965	518.4327	1440.6985	927.1957	501.8873	947.5814	1440.2531	28.7109	1349.7787	405.7938	1071.9444	388.0177	627.2617	80.6496	1678.5156	841.5976	1085.0623	38.2486	477.81	417.83	1221.2743	487.3156	593.4044
PWY-5850	782.341	299.8434	599.5332	475.0116	790.6747	308.7882	1044.8766	513.2982	766.3384	267.1624	670.998	354.0478	507.1818	533.6812	182.6722	407.4145	486.9097	386.9572	502.0569	249.4376	844.3258	254.3755	557.6237	374.7781	2217.1154	1437.1965	518.4327	1440.6985	927.1957	501.8873	947.5814	1440.2531	28.7109	1349.7787	405.7938	1071.9444	388.0177	627.2617	80.6496	1295.4767	841.5976	1085.0623	38.2486	477.81	417.83	1221.2743	487.3156	593.4044
PWY-5855	296.687	353.7007	48.6389	332.2398	6.2083	224.0391	95.6725	65.7699	130.1036	160.6092	100.9242	49.8152	69.2696	76.5885	371.5571	128.5649	57.7087	197.053	32.8886	25.7565	89.9299	323.4595	97.9608	88.745	35.8638	158.6061	0.2416	338.1114	0.0	12.7224	0.0	6.2805	9.6724	7.3931	79.9987	12.992	62.7363	277.1113	6.7834	545.8247	0.0	4.5889	1.7233	126.7201	0.0	3874.4875	30.3554	1959.0166
PWY-5856	296.687	353.7007	48.6389	332.2398	6.2083	224.0391	95.6725	65.7699	130.1036	160.6092	100.9242	49.8152	69.2696	76.5885	371.5571	128.5649	57.7087	197.053	32.8886	25.7565	89.9299	323.4595	97.9608	88.745	35.8638	158.6061	0.2416	338.1114	0.0	12.7224	0.0	6.2805	9.6724	7.3931	79.9987	12.992	62.7363	277.1113	6.7834	545.8247	0.0	4.5889	1.7233	126.7201	0.0	3874.4875	30.3554	1959.0166
PWY-5857	296.687	353.7007	48.6389	332.2398	6.2083	224.0391	95.6725	65.7699	130.1036	160.6092	100.9242	49.8152	69.2696	76.5885	371.5571	128.5649	57.7087	197.053	32.8886	25.7565	89.9299	323.4595	97.9608	88.745	35.8638	158.6061	0.2416	338.1114	0.0	12.7224	0.0	6.2805	9.6724	7.3931	79.9987	12.992	62.7363	277.1113	6.7834	545.8247	0.0	4.5889	1.7233	126.7201	0.0	3874.4875	30.3554	1959.0166
PWY-5860	588.5925	206.1685	417.6964	328.9004	553.5355	210.156	743.0445	356.723	535.0809	183.7517	504.0519	244.5572	358.3098	369.6818	123.8917	281.06	342.0656	267.045	344.8616	170.9323	592.7628	172.1928	384.0422	255.7192	1918.1949	1123.9409	357.2544	1059.1077	651.1442	358.7864	655.5627	1077.4641	19.1608	972.4431	278.126	786.7335	280.8847	432.2389	54.2993	926.3122	606.7939	860.4349	25.5341	345.1868	283.1352	890.8607	335.0811	431.3511
PWY-5861	742.9039	270.1328	1937.5488	459.7468	2689.0598	554.054	3237.3763	465.0405	3325.2196	244.7909	632.2678	315.7355	461.6451	1136.8424	172.5849	362.5362	512.6231	353.0054	3138.9541	741.7537	2614.8294	235.2314	1834.4973	1707.762	1918.1949	1234.6632	844.2595	1188.9527	651.1442	389.9347	1974.8458	1228.5188	27.1214	972.4431	278.126	875.3456	280.8847	463.6826	54.2993	1013.4363	606.7939	910.7061	424.6143	433.6207	414.7017	1489.713	815.5272	512.3011
PWY-5862	588.5925	206.1685	417.6964	328.9004	553.5355	210.156	743.0445	356.723	535.0809	183.7517	504.0519	244.5572	358.3098	369.6818	123.8917	281.06	342.0656	267.045	344.8616	170.9323	592.7628	172.1928	384.0422	255.7192	1918.1949	1123.9409	357.2544	1059.1077	651.1442	358.7864	655.5627	1077.4641	19.1608	972.4431	278.126	786.7335	280.8847	432.2389	54.2993	1226.51	606.7939	860.4349	25.5341	345.1868	283.1352	890.8607	335.0811	431.3511
PWY-5863	475.7252	139.6092	1647.4747	245.0284	3619.7009	295.7003	3114.9706	245.7776	3184.7089	129.2777	339.9137	166.1069	244.3578	657.2921	88.195	189.4574	270.8197	185.8129	2724.1178	428.7659	1796.1399	120.9634	1147.9067	1096.4387	2889.7536	748.6969	2722.6712	709.8614	3067.0986	231.2136	6686.684	722.9778	6927.9002	808.7334	293.5278	511.7884	342.6022	268.0866	37.8704	718.1089	385.1864	548.6845	8592.0513	238.4927	5962.2508	1139.7702	4411.1312	267.6591
PWY-5896	782.341	299.8434	599.5332	475.0116	790.6747	308.7882	1044.8766	513.2982	766.3384	267.1624	670.998	354.0478	507.1818	533.6812	182.6722	407.4145	486.9097	386.9572	502.0569	249.4376	844.3258	254.3755	557.6237	374.7781	2217.1154	1437.1965	518.4327	1440.6985	927.1957	501.8873	947.5814	1440.2531	28.7109	1349.7787	405.7938	1071.9444	388.0177	627.2617	80.6496	1295.4767	841.5976	1085.0623	38.2486	477.81	417.83	1221.2743	487.3156	593.4044
PWY-5897	895.986	345.6952	2914.9697	586.058	4942.0954	705.5773	4221.4392	590.8201	4273.9798	314.1256	753.0241	403.8399	578.2352	1394.3543	223.5928	464.4316	645.8731	452.1404	4198.6052	910.3595	3123.3329	305.1815	2255.8489	2071.9124	3423.9124	1560.0308	4304.1884	1576.3937	4775.3184	547.2506	7849.4634	1562.5601	8271.4084	1797.2969	712.6544	1155.1866	745.2911	662.9299	97.8613	1618.0747	903.7019	1149.7218	8823.1445	557.9782	8003.7923	1828.0907	4878.6194	627.7589
PWY-5898	895.986	345.6952	2914.9697	586.058	4942.0954	705.5773	4221.4392	590.8201	4273.9798	314.1256	753.0241	403.8399	578.2352	1394.3543	223.5928	464.4316	645.8731	452.1404	4198.6052	910.3595	3123.3329	305.1815	2255.8489	2071.9124	3423.9124	1560.0308	4304.1884	1576.3937	4775.3184	547.2506	7849.4634	1562.5601	8271.4084	1797.2969	712.6544	1155.1866	745.2911	662.9299	97.8613	1618.0747	903.7019	1149.7218	8823.1445	557.9782	8003.7923	1828.0907	4878.6194	627.7589
PWY-5899	895.986	345.6952	2914.9697	586.058	4942.0954	705.5773	4221.4392	590.8201	4273.9798	314.1256	753.0241	403.8399	578.2352	1394.3543	223.5928	464.4316	645.8731	452.1404	4198.6052	910.3595	3123.3329	305.1815	2255.8489	2071.9124	3423.9124	1560.0308	4304.1884	1576.3937	4775.3184	547.2506	7849.4634	1562.5601	8271.4084	1797.2969	712.6544	1155.1866	745.2911	662.9299	97.8613	1618.0747	903.7019	1149.7218	8823.1445	557.9782	8003.7923	1828.0907	4878.6194	627.7589
PWY-5910	91.764	1971.6509	3834.3771	1681.9905	2997.9241	1716.1978	2874.4207	1315.6014	2772.8749	852.4736	3834.7325	1562.546	1436.5443	665.8977	2253.8889	2158.6949	4566.7702	2198.5305	3305.419	469.7797	3400.5486	68.1927	1924.367	45.8586	2051.7649	4203.0191	4747.6265	6450.913	5432.5469	4082.867	4378.2378	4617.7018	5525.5469	7135.9944	6303.0402	3637.4792	4918.0158	7689.4458	5180.9278	6620.2163	6139.3071	3641.0637	1471.255	1988.3596	1723.9746	3645.9359	2520.457	6340.1348
PWY-5913	1961.3962	2220.471	6201.6757	4002.5854	5919.7499	5596.1884	5771.946	4540.916	6035.3598	2518.4637	2369.8047	2879.822	4762.9878	6201.2613	4504.1822	4105.4358	3133.2778	3229.5136	5278.1231	3933.4954	5182.6776	7609.5511	5879.0368	6219.6065	3447.2864	1866.7214	7476.8211	3594.968	6854.3681	3953.0325	3360.9356	2168.0314	4243.7505	4042.2654	1679.0396	5649.4213	802.5702	1415.9594	1082.9876	2720.7386	3776.6004	3824.6275	2580.31	7811.4312	3683.4383	5730.7534	5585.3582	2657.489
PWY-5918	715.8145	459.3309	2228.1622	523.5468	4150.4032	386.3389	3814.632	372.5488	3854.4032	289.2317	314.0142	236.5576	307.7206	539.9346	240.5659	367.2458	118.3095	324.8326	3135.9185	284.8602	2912.3313	500.4619	1856.5415	310.5127	2784.0694	555.6764	2865.4074	590.4135	3166.2549	70.6231	2141.5905	17.0741	335.9383	626.031	335.4923	61.6771	360.8695	388.7262	44.7882	1402.9767	19.0431	38.9006	4353.0532	265.5711	4124.9967	4944.554	5473.3629	2032.4415
PWY-5920	0.0	1.5964	2.6774	20.2359	0.0	16.2626	0.7999	3.1819	0.0	7.0767	5.5364	1.5926	10.9382	0.0	11.6179	5.2677	0.0	30.6965	0.0	4.2339	17.0026	63.5053	0.0	17.9796	55.1928	66.0244	0.7998	82.5089	0.0	26.3739	0.0	10.8565	23.1454	45.2275	142.844	33.8027	148.1794	121.407	31.1843	279.6349	0.0	0.0	5.5976	31.7253	0.0	2090.246	0.7999	1070.8865
PWY-5941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.8562	0.0	11.9665	0.0	11.9733	0.0	7.978	0.0	15.9456	3.9899	9.9877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.9232
PWY-5971	349.8835	1223.0124	216.384	1005.8552	98.5518	1486.4717	392.0831	898.8783	516.5822	437.5749	803.653	811.2525	780.5461	1080.8604	785.655	941.7673	60.3181	606.0875	334.7645	1097.6852	1027.9753	845.9706	724.7558	1172.5767	98.8333	621.1516	0.5	1928.295	0.0	46.661	0.0	32.3696	31.9288	39.6528	190.2591	52.5026	151.5894	755.3346	15.5327	1102.5606	0.0	10.4846	3.499	304.8727	0.0	9207.4196	6.197	5711.8318
PWY-5973	8834.3063	9042.4939	4950.2454	8055.6306	7160.2734	7741.1143	9068.7247	8032.8555	9454.8703	8056.1857	8650.7654	8225.9415	7464.3765	7769.8294	6549.7015	6317.211	6819.0977	7725.0223	6613.9124	7556.3596	9212.0385	9677.108	9300.2202	7945.2198	6902.6161	6808.4763	4043.2539	3372.1882	4688.7128	1751.7314	10128.8711	4206.2772	10481.1227	3032.6377	4543.1297	1910.0957	7162.5284	2157.5216	5278.7655	3504.529	4155.0565	5080.5093	14043.1452	1417.7575	10760.4322	9097.8736	10904.363	10865.2447
PWY-5989	234.1046	787.2683	132.3026	645.7485	59.5223	991.1043	240.2776	576.5976	318.558	273.082	499.9799	514.5521	497.6705	732.3535	499.5024	607.7431	36.3158	377.55	205.5874	745.5576	649.6973	630.6704	453.536	1049.0814	59.7176	379.8808	0.3	1460.8809	0.0	28.2909	0.0	19.4701	19.1827	23.9075	112.9405	31.8558	89.777	485.6944	9.179	719.4561	0.0	6.296	2.0998	201.2168	0.0	7733.1005	3.7193	4174.1212
PWY-6071	0.0	0.3358	0.0	2.152	0.0	2.9749	0.2391	0.6738	0.0	1.5079	0.335	0.3372	0.671	0.0	1.0257	0.0	0.0	4.288	0.0	0.337	2.8764	0.0	0.0	0.0	0.0	78.325	0.1689	167.9605	0.0	4.4562	0.0	0.8754	0.658	0.0	3.6118	4.4185	4.9988	47.5184	2.2779	296.1187	0.0	3.4117	1.0262	35.2412	0.0	2705.5562	0.1684	870.4524
PWY-6107	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.1523	0.0	219.991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.7718	0.0	28.995	0.0	0.0	0.0	14.9374	0.0	3086.8189	0.0	212.2283
PWY-6121	8595.9184	8954.2327	7198.9672	7994.2769	8445.0463	7676.4344	7754.0744	8145.6593	7994.3076	7847.3794	9279.4566	8221.8441	8752.5809	7722.092	7854.522	7137.4084	7997.4321	7727.4757	7577.2586	7804.4988	8371.1372	9446.1291	9239.8931	7955.6682	5165.9063	6831.3038	7222.2994	4151.9083	6617.4262	3462.766	7565.3104	4361.5286	7404.4423	4037.0189	3251.9677	5656.6452	6113.3481	1550.0185	3421.2235	2729.941	5796.3742	7811.8992	10501.8991	7973.5738	10101.4923	8909.0945	8882.6813	9364.0692
PWY-6122	8661.9558	9042.6647	7285.837	7913.5849	8621.294	7466.3762	7859.1678	7979.1722	8068.0043	7814.2223	9498.6805	8244.0381	8743.1076	7437.3045	7777.1213	7108.7718	8094.8447	7727.0973	7623.569	7864.1572	8437.764	9245.9206	9169.5407	7960.0246	5324.091	6968.4267	7366.2438	4143.4549	6766.1895	3468.4208	7784.7695	4336.8753	7636.3299	4104.9682	3260.7363	5628.1313	6263.0059	1554.9297	3392.3719	2708.4079	5910.637	7980.4184	10895.1963	7968.0837	10351.7891	8492.4446	9279.5774	9550.3819
PWY-6123	7886.9465	7997.1521	6887.495	7429.2434	7803.4657	7276.022	6895.977	7452.967	7173.6892	7237.2135	7945.7367	7654.7156	7953.865	7198.6771	7560.5047	6684.7286	7292.3744	7163.4234	7077.2947	7119.4506	7551.3486	8649.5111	8393.2196	7221.3933	4444.624	6335.8449	7038.252	4069.1707	6495.5024	3632.0589	6892.7627	3983.6081	7205.0517	4140.2106	4150.6065	5562.7436	6541.6004	1727.6903	4615.3308	3248.784	6129.1074	7211.3474	9285.7166	7869.7405	9753.2955	7745.7554	7803.915	8478.0967
PWY-6125	2612.2553	4669.5633	4283.5942	4268.4002	6727.1676	4632.913	5977.9161	4906.1751	6287.5023	3166.9344	6565.3788	2416.635	4278.7371	5285.9135	4119.9572	3144.0844	6144.6382	3568.4733	5799.6433	2477.3746	6162.2713	6642.9199	6384.8794	5681.5227	4974.8479	6854.0522	5681.8212	4702.9874	6183.9672	1574.978	8656.5239	4653.6591	9444.3601	4555.3055	5409.4574	2494.0514	7625.7375	2903.4207	5856.6065	5108.1007	6135.8601	6356.9619	10273.5084	1647.9303	8544.1873	8325.9543	7300.3431	8681.981
PWY-6126	7773.4653	9135.9796	10489.8806	9105.0867	10740.9533	8317.7358	9224.4855	8180.1673	9515.0165	7749.6619	9321.2263	8109.7564	9194.5879	7540.5712	9486.2007	8381.8947	9724.714	8171.776	10021.539	8084.4491	9795.9063	8796.193	9761.7323	7804.4929	5768.7825	8140.1433	11220.8617	9205.294	11041.112	7733.3041	10515.7912	7161.8137	11533.7363	10034.0984	8461.0079	8884.5684	8500.9159	9140.94	7514.0567	8531.687	10112.2609	9323.3165	12012.0927	10353.1009	9738.6219	9118.0953	10433.7657	9652.0381
PWY-6147	4579.8435	4626.4644	4103.4782	5175.8709	5577.6462	5920.6709	5781.1095	4826.4411	5753.2581	4734.896	3587.1363	5750.8223	5302.4279	5428.5036	4461.7141	4616.5361	3680.0346	5192.1404	5195.2703	5124.3845	5469.6582	6785.6145	6634.9357	5641.5939	2777.6639	1809.5562	3602.3085	1897.4735	3915.9968	1040.2459	6395.96	1632.1168	6419.3197	1610.558	1455.5953	1823.7732	1023.1905	677.9363	1071.1331	2034.9781	1782.5509	2159.5221	9004.3003	1515.1964	9416.2967	6835.4781	6371.4309	3420.8698
PWY-6151	5642.7196	5571.5041	9046.6733	5354.9659	9910.216	5103.3183	7866.6086	4971.9112	7948.8523	5342.1856	6753.4421	6292.8275	5949.6504	4022.375	6452.0856	5536.9999	7333.9875	5356.7952	8835.8326	4679.7826	7271.2642	3457.2717	5777.5759	2742.8983	5114.9822	6508.7659	10879.847	7744.7813	10760.9331	6549.4161	10776.8529	5954.6101	11851.791	8812.8531	6934.2561	7526.3701	7007.8194	8016.913	6043.3117	6878.9756	8512.5012	7701.8204	12027.3882	8662.2029	8765.0775	6858.5504	9639.4256	6861.4525
PWY-6163	8632.4079	7429.7095	7613.4318	7588.9676	8775.3539	7326.4467	7951.5443	6681.5392	8265.8043	7739.7114	5599.8608	8400.525	7762.3562	6959.2267	7148.9001	6641.6219	5337.104	7469.8979	7620.6754	7837.1387	7335.7916	8564.2301	7420.5362	7232.0949	4833.1434	2527.6293	7624.6482	2958.2413	7017.4249	3830.1785	8106.3437	2109.8963	8240.635	3079.5683	1681.4122	5177.3273	1407.0474	1268.2586	1201.4465	1946.6029	3219.5085	4460.7713	11522.1344	7822.3851	8785.852	8502.8467	9644.5409	4476.6653
PWY-6165	0.0	0.0	0.0	0.0	0.0	0.0	0.7817	0.0	0.0	4.7888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8698	0.0	0.0	0.0	20.0852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6182	0.0	0.0	0.0	2.9614	0.0	1.4259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.099	3.738	0.0	2.9479	0.0	71.8357	0.0	315.8255	0.0	1.5789	0.0	0.9376	0.0	0.0	1.7795	0.0	0.0	52.9456	0.0	62.6569	0.0	0.0	0.0	35.5216	0.0	4788.8938	0.0	831.1396
PWY-6185	0.0	0.0	0.0	2.9462	0.0	1.2791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8274	0.0	0.0	0.0	0.0	70.5483	0.0	309.7475	0.0	1.6129	0.0	0.7706	0.0	0.0	1.7197	0.0	0.0	46.724	0.0	61.7678	0.0	0.0	0.0	34.1211	0.0	4656.4989	0.0	819.6275
