pathway	Colon_A1	Colon_A2	Colon_A3	Colon_A4	Colon_A5	Colon_A6	Colon_B1	Colon_B2	Colon_B3	Colon_B4	Colon_B5	Colon_B6	Colon_C1	Colon_C2	Colon_C3	Colon_C4	Colon_C5	Colon_C6	Colon_D1	Colon_D2	Colon_D3	Colon_D4	Colon_D5	Colon_D6	SI_A1	SI_A2	SI_A3	SI_A4	SI_A5	SI_A6	SI_B1	SI_B2	SI_B3	SI_B4	SI_B5	SI_B6	SI_C1	SI_C2	SI_C3	SI_C4	SI_C5	SI_C6	SI_D1	SI_D2	SI_D3	SI_D4	SI_D5	SI_D6
PWY-5005	22.241	2.3987	0.0	0.0	149.9867	0.0	0.0	0.0	0.0	0.0	23.0266	0.0	7.1882	0.0	5.5849	0.0	0.0	0.0	0.0	0.0	0.0	4.0064	2915.3524	0.0	33.3596	34.6427	2.3985	0.0	80.8652	0.0	0.0	4.0021	0.0	12.6554	163.3692	7.1683	189.5135	34.2626	16.3446	8.7564	0.0	0.0	0.0	8.7404	2337.9149	1483.8694	0.0	360.8239
PWY-5022	291.0025	1012.1823	1518.1703	476.6973	3850.2364	310.4796	2914.499	345.6609	2953.3863	372.1767	924.7	334.57	526.089	211.8094	910.4007	398.3454	367.971	504.1258	2649.881	225.8901	1576.9744	129.6298	2117.5514	60.8709	2887.778	145.9116	2925.5749	41.4516	3294.6155	7.9351	7689.1698	29.0385	8250.3784	470.7751	259.6615	16.7671	384.8657	259.5096	50.3526	121.5677	3.9973	80.5233	10608.476	150.2376	3962.5431	1964.8182	5057.3786	2044.7267
PWY-5028	0.0	0.0	1.6739	0.0	0.0	2.4988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3216	0.0	0.0	0.0	0.0	4.1714	6.6689	0.0	4.9945	0.0	0.6965	0.0	2.4901	0.0	2.0478	0.0	0.0	0.0	0.0	4.8944	0.0	0.0	38.9669	0.0	23.6073	0.0	0.0	0.0	9.6886	0.0	682.0304	0.0	1029.3673
PWY-5088	0.0	0.0	0.0	0.0	0.0	10.1161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5097	9110.8003	9198.684	8321.0269	8576.3373	9868.3441	7712.9043	8188.7619	8038.4461	8417.1238	8513.6794	8893.8639	8852.1944	9180.1688	7478.7244	8664.6424	7462.2625	8250.1354	7915.8603	8660.0362	8498.2658	8506.0722	9053.567	8876.2606	7885.0058	6197.4268	6343.2389	9077.3172	5452.0026	8351.0913	6064.712	8918.8744	4836.2268	9251.1804	4893.304	3985.1841	6651.5638	6828.7976	2570.1104	5279.4146	4256.3292	7162.0298	8287.9106	12058.5514	9742.2555	7416.851	8682.4844	9941.8374	9216.0036
PWY-5100	9451.5324	9409.4993	11518.0722	8918.3841	11372.9263	8529.0789	10413.1857	8412.6708	10369.6403	9268.2238	10472.0105	10062.5537	8701.2356	7653.4346	9878.5779	8681.5719	11381.3671	9975.9591	10680.4367	8364.5122	10635.1349	9035.5243	9790.6875	7289.7792	6486.6421	9670.6866	12198.7006	10823.7235	12232.1549	8799.1241	11356.1176	8494.8504	12633.4382	12042.7134	10547.1058	9863.4488	10289.1381	11451.7284	9096.0916	10372.4872	11957.1259	10771.3831	12264.5182	10691.7491	8409.1466	6463.3411	11662.0356	10399.3562
PWY-5101	10436.9802	10076.8497	8522.5986	9532.3492	9674.9245	8845.3801	8463.4507	8916.2643	8830.6669	9486.952	7859.174	10134.262	9931.426	8684.5368	8904.4913	8155.1106	7005.6937	8953.4769	8472.9154	9876.756	8842.8739	10743.3172	9455.4165	9417.708	4634.894	3221.3514	8310.8509	3756.2093	7462.0846	4315.9546	7970.3171	2767.2804	8002.3968	3647.1493	1356.5259	6282.1192	892.0079	1247.6011	96.5742	2511.8438	4126.7655	6042.9625	11709.0094	9721.4729	10645.726	10655.1598	10012.5323	7684.8704
PWY-5103	8931.6411	8189.4043	7409.3337	8093.3897	8395.7212	7688.093	7322.8589	7428.8509	7641.4998	8059.6993	6311.9128	8713.6903	8389.5549	7519.2985	7591.2005	6950.1351	5816.0516	7647.0318	7419.2376	8522.7517	7418.4825	9338.4821	7602.9098	8108.678	4000.3453	2592.9304	7346.9169	3167.7307	6582.0342	3744.3852	7049.7822	2263.0563	7067.1664	3102.9054	1035.6465	5520.509	729.1702	955.3608	80.4936	2075.4225	3506.2566	5132.3821	10319.2923	8529.7214	8828.2655	8541.5372	8534.8815	5369.9183
PWY-5104	10078.3168	9360.9867	5836.5095	8860.5436	5125.9027	8188.5474	7537.1479	8210.4193	7615.5367	9154.9719	7445.227	9573.1723	8970.9629	8149.1788	7852.9338	7541.9181	6338.1319	8677.0995	5690.1299	9079.2004	8122.4008	9962.0391	9381.9544	8645.7337	4235.6386	3212.5361	1158.5562	3350.1706	1877.3719	2677.9095	1824.7474	2742.7933	174.3505	2957.9501	1376.057	3547.913	830.7978	1205.8904	117.2674	959.8586	2892.5401	4706.604	5293.9426	2981.7289	8865.4154	4882.9585	8349.8267	6591.832
PWY-5121	8130.7889	7356.2143	7293.0745	7391.775	7959.3819	7256.8667	7052.0605	6797.658	7315.8503	7330.4384	5989.1344	7989.4217	7628.0089	6889.2096	7315.7383	6684.1705	5812.7209	7310.5489	7209.854	7380.7774	7109.269	8340.7362	7764.1394	6985.0949	4395.752	3096.3596	7319.3845	3563.5939	6763.2065	4336.7694	7169.9462	2732.7518	7425.9971	3751.2596	2103.7525	5590.2979	1516.8175	1590.6868	1651.4166	2488.5282	4150.7947	5088.5049	9547.6849	7956.0895	9064.7594	5567.5361	8030.1345	4457.2916
